2017-08-17 23:23:00 status half-installed dpkg 1.17.5ubuntu5
2017-08-17 23:23:01 status half-installed dpkg 1.17.5ubuntu5
2017-08-17 23:23:01 status unpacked dpkg 1.17.5ubuntu5
2017-08-17 23:23:01 status unpacked dpkg 1.17.5ubuntu5
2017-08-17 23:23:01 configure dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2017-08-17 23:23:01 status unpacked dpkg 1.17.5ubuntu5
2017-08-17 23:23:01 status unpacked dpkg 1.17.5ubuntu5
2017-08-17 23:23:01 status unpacked dpkg 1.17.5ubuntu5
2017-08-17 23:23:01 status unpacked dpkg 1.17.5ubuntu5
2017-08-17 23:23:01 status unpacked dpkg 1.17.5ubuntu5
2017-08-17 23:23:01 status half-configured dpkg 1.17.5ubuntu5
2017-08-17 23:23:01 status installed dpkg 1.17.5ubuntu5
2017-08-17 23:23:01 startup archives install
2017-08-17 23:23:01 install libc6:amd64 <none> 2.19-0ubuntu6
2017-08-17 23:23:01 status half-installed libc6:amd64 2.19-0ubuntu6
2017-08-17 23:23:01 status unpacked libc6:amd64 2.19-0ubuntu6
2017-08-17 23:23:01 status unpacked libc6:amd64 2.19-0ubuntu6
2017-08-17 23:23:01 configure libc6:amd64 2.19-0ubuntu6 2.19-0ubuntu6
2017-08-17 23:23:01 status unpacked libc6:amd64 2.19-0ubuntu6
2017-08-17 23:23:01 status unpacked libc6:amd64 2.19-0ubuntu6
2017-08-17 23:23:01 status half-configured libc6:amd64 2.19-0ubuntu6
2017-08-17 23:23:01 status installed libc6:amd64 2.19-0ubuntu6
2017-08-17 23:23:01 startup archives install
2017-08-17 23:23:01 install perl-base:amd64 <none> 5.18.2-2ubuntu1
2017-08-17 23:23:01 status half-installed perl-base:amd64 5.18.2-2ubuntu1
2017-08-17 23:23:01 status unpacked perl-base:amd64 5.18.2-2ubuntu1
2017-08-17 23:23:02 status unpacked perl-base:amd64 5.18.2-2ubuntu1
2017-08-17 23:23:02 configure perl-base:amd64 5.18.2-2ubuntu1 5.18.2-2ubuntu1
2017-08-17 23:23:02 status unpacked perl-base:amd64 5.18.2-2ubuntu1
2017-08-17 23:23:02 status half-configured perl-base:amd64 5.18.2-2ubuntu1
2017-08-17 23:23:02 status installed perl-base:amd64 5.18.2-2ubuntu1
2017-08-17 23:23:02 startup archives install
2017-08-17 23:23:02 install mawk:amd64 <none> 1.3.3-17ubuntu2
2017-08-17 23:23:02 status half-installed mawk:amd64 1.3.3-17ubuntu2
2017-08-17 23:23:02 status unpacked mawk:amd64 1.3.3-17ubuntu2
2017-08-17 23:23:02 status unpacked mawk:amd64 1.3.3-17ubuntu2
2017-08-17 23:23:02 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2017-08-17 23:23:02 status unpacked mawk:amd64 1.3.3-17ubuntu2
2017-08-17 23:23:02 status half-configured mawk:amd64 1.3.3-17ubuntu2
2017-08-17 23:23:02 status installed mawk:amd64 1.3.3-17ubuntu2
2017-08-17 23:23:02 startup archives unpack
2017-08-17 23:23:02 install adduser:all <none> 3.113+nmu3ubuntu3
2017-08-17 23:23:02 status half-installed adduser:all 3.113+nmu3ubuntu3
2017-08-17 23:23:02 status unpacked adduser:all 3.113+nmu3ubuntu3
2017-08-17 23:23:02 status unpacked adduser:all 3.113+nmu3ubuntu3
2017-08-17 23:23:02 upgrade base-files:amd64 7.2ubuntu5 7.2ubuntu5
2017-08-17 23:23:02 status half-configured base-files:amd64 7.2ubuntu5
2017-08-17 23:23:02 status unpacked base-files:amd64 7.2ubuntu5
2017-08-17 23:23:02 status half-installed base-files:amd64 7.2ubuntu5
2017-08-17 23:23:02 status half-installed base-files:amd64 7.2ubuntu5
2017-08-17 23:23:02 status unpacked base-files:amd64 7.2ubuntu5
2017-08-17 23:23:02 status unpacked base-files:amd64 7.2ubuntu5
2017-08-17 23:23:02 upgrade base-passwd:amd64 3.5.33 3.5.33
2017-08-17 23:23:02 status half-configured base-passwd:amd64 3.5.33
2017-08-17 23:23:02 status unpacked base-passwd:amd64 3.5.33
2017-08-17 23:23:02 status half-installed base-passwd:amd64 3.5.33
2017-08-17 23:23:02 status half-installed base-passwd:amd64 3.5.33
2017-08-17 23:23:02 status unpacked base-passwd:amd64 3.5.33
2017-08-17 23:23:02 status unpacked base-passwd:amd64 3.5.33
2017-08-17 23:23:02 install bash:amd64 <none> 4.3-6ubuntu1
2017-08-17 23:23:02 status half-installed bash:amd64 4.3-6ubuntu1
2017-08-17 23:23:02 status unpacked bash:amd64 4.3-6ubuntu1
2017-08-17 23:23:02 status unpacked bash:amd64 4.3-6ubuntu1
2017-08-17 23:23:02 install bsdutils:amd64 <none> 1:2.20.1-5.1ubuntu20
